timestamp,amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,amphora-002a6401-7521-485b-a4fb-ede70de13870,amphora-0067676d-0ad2-4358-aa8b-cc9fbf926250,amphora-007a71c6-7f2c-42d7-ab40-3379953f1235,amphora-00853e9d-5b93-4ca2-86c1-ef4a1d9fe87e
2023-08-12 18:00:00+00:00,4.0,2.0,2.2916666666666665,3.0,2.0
2023-08-12 19:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,2.0
2023-08-12 20:00:00+00:00,4.0,2.125,2.9583333333333335,3.0,2.0
2023-08-12 21:00:00+00:00,4.0,2.0,3.0,3.0,2.0
2023-08-12 22:00:00+00:00,4.0,2.1666666666666665,3.0,2.9583333333333335,2.0
2023-08-12 23:00:00+00:00,4.0,2.0,3.0,2.972222222222222,2.0
2023-08-13 00:00:00+00:00,4.0,2.0,2.9166666666666665,3.0,2.0
2023-08-13 01:00:00+00:00,4.0,2.0,2.4027777777777777,3.0,2.0
2023-08-13 02:00:00+00:00,4.0,2.0,2.305555555555556,3.0,2.0
2023-08-13 03:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,2.0
2023-08-13 04:00:00+00:00,4.0,2.0,2.972222222222222,3.0,2.0
2023-08-13 05:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-13 06:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-13 07:00:00+00:00,4.0,2.0,2.2222222222222223,3.0,2.0
2023-08-13 08:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,2.0
2023-08-13 09:00:00+00:00,4.0,2.0,2.763888888888889,3.0,2.0
2023-08-13 10:00:00+00:00,4.0,2.0,2.888888888888889,3.0,2.0
2023-08-13 11:00:00+00:00,4.0,2.0,2.4027777777777777,3.0,2.0
2023-08-13 12:00:00+00:00,4.0,2.0,2.9444444444444446,3.0,2.0
2023-08-13 13:00:00+00:00,4.0,2.0,2.1666666666666665,3.0,2.0
2023-08-13 14:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-13 15:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-13 16:00:00+00:00,4.0,2.0,2.0,3.027777777777778,2.0
2023-08-13 17:00:00+00:00,4.0,2.0,2.0,3.0,2.0
2023-08-13 18:00:00+00:00,4.0,2.0,2.125,3.0,2.0
2023-08-13 19:00:00+00:00,4.0,2.0277777777777777,2.486111111111111,2.722222222222222,2.0
2023-08-13 20:00:00+00:00,4.0,2.486111111111111,2.0,2.388888888888889,2.0
2023-08-13 21:00:00+00:00,4.0,2.0833333333333335,2.0,2.1805555555555554,2.0
