hostname,timestamp,avg
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:10:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:45:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:50:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 00:55:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:10:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:45:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:50:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 01:55:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:10:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:15:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:20:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:25:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:30:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:35:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:40:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:45:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:50:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 02:55:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:00:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:05:00+00:00,4.0
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09 03:10:00+00:00,4.0
