hostname,timestamp,avg
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:20:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:25:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:30:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:35:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:40:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:45:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:50:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T00:55:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:20:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:25:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:30:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:35:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:40:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:45:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:50:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T01:55:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:20:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:25:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:30:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:35:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:40:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:45:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:50:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T02:55:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:00:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:05:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:10:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:15:00Z,4
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-09T03:20:00Z,4
