timestamp,amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,amphora-002a6401-7521-485b-a4fb-ede70de13870,amphora-0067676d-0ad2-4358-aa8b-cc9fbf926250,amphora-007a71c6-7f2c-42d7-ab40-3379953f1235,amphora-0160da0f-e220-439b-9480-418c5c296531
2023-08-01 00:45:00+00:00,4.0,7.083333333333333,2.0,2.95,1.0
2023-08-01 00:50:00+00:00,4.0,7.383333333333335,2.0,2.95,1.0
2023-08-01 00:55:00+00:00,4.0,7.633333333333335,2.0,3.0,1.0
2023-08-01 01:00:00+00:00,4.0,7.766666666666666,2.0,3.0,1.0
2023-08-01 01:05:00+00:00,4.0,7.766666666666666,2.0,3.0,1.0
2023-08-01 01:10:00+00:00,4.0,7.666666666666667,2.0,3.0,1.0
2023-08-01 01:15:00+00:00,4.0,7.616666666666667,2.0,3.0,1.0
2023-08-01 01:20:00+00:00,4.0,7.583333333333334,2.0,3.0,1.0
2023-08-01 01:25:00+00:00,4.0,8.183333333333334,2.0,3.0,1.0
2023-08-01 01:30:00+00:00,4.0,8.383333333333335,2.05,3.0,1.0
2023-08-01 01:35:00+00:00,4.0,8.333333333333334,2.15,3.0,1.0
2023-08-01 01:40:00+00:00,4.0,8.333333333333332,2.25,3.0,1.0
2023-08-01 01:45:00+00:00,4.0,8.483333333333333,2.35,3.0,1.0
2023-08-01 01:50:00+00:00,4.0,8.383333333333335,2.45,3.0,1.0
2023-08-01 01:55:00+00:00,4.0,8.333333333333334,2.55,3.0,1.0
2023-08-01 02:00:00+00:00,4.0,8.333333333333332,2.65,3.0,1.0
2023-08-01 02:05:00+00:00,4.0,8.333333333333332,2.75,3.0,1.0
2023-08-01 02:10:00+00:00,4.0,8.266666666666666,2.85,3.0,1.0
2023-08-01 02:15:00+00:00,4.0,8.066666666666666,2.95,3.0,1.0
2023-08-01 02:20:00+00:00,4.0,7.933333333333333,3.0,3.0,1.0
2023-08-01 02:25:00+00:00,4.0,7.633333333333333,3.0,3.0,1.0
2023-08-01 02:30:00+00:00,4.0,6.9,3.0,3.0,1.0
2023-08-01 02:35:00+00:00,4.0,6.3,3.0,3.0,1.0
2023-08-01 02:40:00+00:00,4.0,6.333333333333333,3.0,3.0,1.0
2023-08-01 02:45:00+00:00,4.0,6.433333333333333,3.0,3.0,1.0
2023-08-01 02:50:00+00:00,4.0,6.4,3.0,3.0,1.0
2023-08-01 02:55:00+00:00,4.0,6.25,3.0,3.0,1.0
2023-08-01 03:00:00+00:00,4.0,6.55,3.0,3.0,1.0
2023-08-01 03:05:00+00:00,4.0,6.6,3.0,3.0,1.0
2023-08-01 03:10:00+00:00,4.0,6.566666666666667,3.0,3.0,1.0
2023-08-01 03:15:00+00:00,4.0,6.966666666666667,3.0,3.0,1.0
2023-08-01 03:20:00+00:00,4.0,7.533333333333334,3.0,3.0,1.0
2023-08-01 03:25:00+00:00,4.0,7.9333333333333345,3.0,3.0,1.0
2023-08-01 03:30:00+00:00,4.0,7.866666666666667,3.0,3.0,1.0
2023-08-01 03:35:00+00:00,4.0,7.866666666666667,3.0,3.0,1.0
2023-08-01 03:40:00+00:00,4.0,7.966666666666667,3.0,3.0,1.0
2023-08-01 03:45:00+00:00,4.0,8.116666666666667,3.0,3.0,1.0
2023-08-01 03:50:00+00:00,4.0,7.75,3.0,3.0,1.0
2023-08-01 03:55:00+00:00,4.0,7.8,2.9,3.0,1.0
2023-08-01 04:00:00+00:00,4.0,7.833333333333333,2.8,3.0,1.0
2023-08-01 04:05:00+00:00,4.0,7.7333333333333325,2.7,3.0,1.0
2023-08-01 04:10:00+00:00,4.0,7.8,2.6,3.0,1.0
2023-08-01 04:15:00+00:00,4.0,7.8,2.5,3.0,1.0
2023-08-01 04:20:00+00:00,4.0,7.7333333333333325,2.4,3.0,1.0
2023-08-01 04:25:00+00:00,4.0,7.683333333333333,2.3,3.0,1.0
2023-08-01 04:30:00+00:00,4.0,7.616666666666667,2.2,3.0,1.0
2023-08-01 04:35:00+00:00,4.0,7.416666666666667,2.1,3.0,1.0
2023-08-01 04:40:00+00:00,4.0,7.55,2.0,3.0,1.0
2023-08-01 04:45:00+00:00,4.0,7.55,2.0,3.0,1.0
2023-08-01 04:50:00+00:00,4.0,7.55,2.0,3.0,1.0
2023-08-01 04:55:00+00:00,4.0,7.6,2.0,3.0,1.0
2023-08-01 05:00:00+00:00,4.0,7.633333333333333,2.0,3.0,1.0
2023-08-01 05:05:00+00:00,4.0,7.7333333333333325,2.0,3.0,1.0
2023-08-01 05:10:00+00:00,4.0,7.9,2.0,3.0,1.0
2023-08-01 05:15:00+00:00,4.0,7.95,2.0,3.0,1.0
2023-08-01 05:20:00+00:00,4.0,8.016666666666666,2.0,3.0,1.0
2023-08-01 05:25:00+00:00,4.0,8.266666666666666,2.0,3.0,1.0
2023-08-01 05:30:00+00:00,4.0,8.2,2.0,3.0,1.0
2023-08-01 05:35:00+00:00,4.0,8.15,2.0,3.0,1.0
2023-08-01 05:40:00+00:00,4.0,8.283333333333335,2.0,3.0,1.0
2023-08-01 05:45:00+00:00,4.0,8.433333333333334,2.0,3.0,1.0
2023-08-01 05:50:00+00:00,4.0,8.466666666666667,2.0,3.0,1.0
2023-08-01 05:55:00+00:00,4.0,8.516666666666667,2.0,3.0,1.0
2023-08-01 06:00:00+00:00,4.0,8.150000000000002,2.0,3.0,1.0
2023-08-01 06:05:00+00:00,4.0,7.55,2.0,3.0,1.0
2023-08-01 06:10:00+00:00,4.0,7.25,2.0,3.0,1.0
2023-08-01 06:15:00+00:00,4.0,6.6,2.0,3.0,1.0
2023-08-01 06:20:00+00:00,4.0,6.0,2.0,3.0,1.0
2023-08-01 06:25:00+00:00,4.0,5.4,2.0,3.0,1.0
2023-08-01 06:30:00+00:00,4.0,4.7,2.0,3.0,1.0
2023-08-01 06:35:00+00:00,4.0,3.95,2.0,3.0,1.0
2023-08-01 06:40:00+00:00,4.0,3.25,2.0,3.0,1.0
2023-08-01 06:45:00+00:00,4.0,2.6,2.066666666666667,3.0,1.0
2023-08-01 06:50:00+00:00,4.0,2.3333333333333335,2.166666666666667,3.0,1.0
2023-08-01 06:55:00+00:00,4.0,2.4833333333333334,2.2666666666666666,3.0,1.0
2023-08-01 07:00:00+00:00,4.0,2.1833333333333336,2.3666666666666667,3.0,1.0
2023-08-01 07:05:00+00:00,4.0,2.1833333333333336,2.466666666666667,3.0,1.0
2023-08-01 07:10:00+00:00,4.0,2.15,2.566666666666667,3.0,1.0
2023-08-01 07:15:00+00:00,4.0,2.15,2.666666666666667,3.0,1.0
2023-08-01 07:20:00+00:00,4.0,2.15,2.7666666666666666,3.0,1.0
2023-08-01 07:25:00+00:00,4.0,2.15,2.8666666666666667,3.0,1.0
2023-08-01 07:30:00+00:00,4.0,2.15,2.966666666666667,3.0,1.0
2023-08-01 07:35:00+00:00,4.0,2.15,3.0,3.0,1.0
2023-08-01 07:40:00+00:00,4.0,2.15,3.0,3.0,1.0
2023-08-01 07:45:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 07:50:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 07:55:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:00:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:05:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:10:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:15:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:20:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:25:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:30:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:35:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:40:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:45:00+00:00,4.0,2.0,3.0,3.0,1.0
2023-08-01 08:50:00+00:00,4.0,2.033333333333333,3.0,3.0,1.0
2023-08-01 08:55:00+00:00,4.0,2.0333333333333337,3.0,3.0,1.0
2023-08-01 09:00:00+00:00,4.0,2.0333333333333337,3.0,3.0,1.0
2023-08-01 09:05:00+00:00,4.0,2.0333333333333337,2.9666666666666663,3.0,1.0
2023-08-01 09:10:00+00:00,4.0,2.0333333333333337,2.8666666666666663,3.0,1.0
2023-08-01 09:15:00+00:00,4.0,2.0333333333333337,2.833333333333333,3.0,1.0
2023-08-01 09:20:00+00:00,4.0,2.0333333333333337,2.833333333333333,3.0,1.0
2023-08-01 09:25:00+00:00,4.0,2.0333333333333337,2.833333333333333,3.0,1.0
2023-08-01 09:30:00+00:00,4.0,2.0333333333333337,2.833333333333333,3.0,1.0
2023-08-01 09:35:00+00:00,4.0,2.0333333333333337,2.7333333333333334,3.0,1.0
2023-08-01 09:40:00+00:00,4.0,2.0,2.6333333333333333,3.0,1.0
2023-08-01 09:45:00+00:00,4.0,2.0,2.533333333333333,3.0,1.0
2023-08-01 09:50:00+00:00,4.0,2.0,2.433333333333333,3.0,1.0
2023-08-01 09:55:00+00:00,4.0,2.0,2.3666666666666667,3.0,1.0
2023-08-01 10:00:00+00:00,4.0,2.0,2.3666666666666667,3.0,1.0
2023-08-01 10:05:00+00:00,4.0,2.0,2.3,3.0,1.0
2023-08-01 10:10:00+00:00,4.0,2.0,2.2,3.0,1.0
2023-08-01 10:15:00+00:00,4.0,2.0,2.1,3.0,1.0
2023-08-01 10:20:00+00:00,4.0,2.0,2.1,3.0,1.0
2023-08-01 10:25:00+00:00,4.0,2.0,2.2,3.0,1.0
2023-08-01 10:30:00+00:00,4.0,2.0,2.3,3.0,1.0
2023-08-01 10:35:00+00:00,4.0,2.0,2.4,3.0,1.0
2023-08-01 10:40:00+00:00,4.0,2.0,2.5,3.0,1.0
2023-08-01 10:45:00+00:00,4.0,2.0,2.533333333333333,3.0,1.0
2023-08-01 10:50:00+00:00,4.0,2.0,2.533333333333333,3.0,1.0
