hostname,timestamp,avg
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:00:00Z,54.57308172094381
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:05:00Z,54.57679751572577
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:10:00Z,54.57732834355176
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:15:00Z,54.57838999920376
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:20:00Z,54.57308172094381
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:25:00Z,54.57520503224779
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:30:00Z,54.57520503224779
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:35:00Z,54.57520503224779
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:40:00Z,54.57838999920376
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:45:00Z,54.57998248268174
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:50:00Z,54.57838999920376
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T00:55:00Z,54.575205032247794
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:00:00Z,54.57520503224779
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:05:00Z,54.57241818616132
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:10:00Z,54.57281630703081
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:15:00Z,54.57281630703081
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:20:00Z,54.57387796268281
amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,2023-08-01T01:25:00Z,54.571621944422326
