,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50,column_51,column_52,column_53,column_54,column_55,column_56,column_57,column_58,column_59,column_60,column_61,column_62,column_63,column_64,column_65,column_66,column_67,column_68,column_69,column_70,column_71,column_72,column_73,column_74,column_75,column_76,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125
0,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,3.9772794,6.8775992,5.470559,4.089622,3.1081388,2.3910801,1.9290357,1.7534902,1.7939272,1.9115988,1.9399357,1.9370656,1.935828,1.9346516,1.9832412,2.015626,2.0376675,2.1035616,2.7617826,3.6823163,4.8721414,6.1168923,7.2155337,7.830777,7.517358,6.529379,1.9833788,1.9597595,1.9612564,1.9570684,1.9486276,1.9450849,1.9399446,1.9851823,2.0126464,2.0402954,2.1543403,2.278266,2.4400012,2.5445228,2.5372958,2.452488,2.4381409,2.4572515,2.4022946,2.3095732,2.2876055,2.324047,2.3268275,2.3748336,2.4387875,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,3.0009723,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922,1.9356922
1,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,4.244174,7.250887,5.955274,4.6404724,3.635071,2.8635495,2.3289735,2.0568821,1.9845177,2.0031831,2.0067315,2.0037973,2.0020673,2.0007806,2.0491297,2.0827227,2.1064603,2.1749837,2.8410351,3.7738726,4.9762487,6.231824,7.3430533,7.990647,7.755232,6.878362,2.0668762,2.0422857,2.03374,2.0264215,2.0180204,2.0126958,2.007535,2.0532563,2.0816762,2.1091409,2.2263846,2.3553627,2.5243995,2.6382637,2.6412551,2.5657156,2.5590973,2.579521,2.530514,2.4399407,2.4084775,2.4405718,2.4341636,2.4813535,2.551599,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,3.1806064,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968,2.000968
2,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,4.0989375,6.7884655,5.558037,4.3267584,3.409213,2.7125537,2.2360823,2.0060613,1.9593772,1.9885162,1.993683,1.9908897,1.9892771,1.9880677,2.0348592,2.0670054,2.0895317,2.1553504,2.7981973,3.6917906,4.8349767,6.013865,7.0377865,7.6067324,7.3356624,6.4747252,2.0499556,2.0266633,2.0191782,2.0123441,2.0042973,1.9993054,1.994379,2.0386522,2.065866,2.092121,2.205003,2.3285208,2.4901915,2.5978382,2.5984142,2.5240886,2.517521,2.5374177,2.489791,2.4026978,2.3738098,2.4057128,2.3999755,2.4455545,2.5127583,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,3.1047277,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027,1.9883027
