timestamp,amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,amphora-002a6401-7521-485b-a4fb-ede70de13870,amphora-0067676d-0ad2-4358-aa8b-cc9fbf926250,amphora-007a71c6-7f2c-42d7-ab40-3379953f1235,amphora-00853e9d-5b93-4ca2-86c1-ef4a1d9fe87e,amphora-0160da0f-e220-439b-9480-418c5c296531
2023-08-01 00:00:00+00:00,54.576355159204105,51.454335536268815,55.96876078244022,55.41313334394989,,78.84634451172839
2023-08-01 01:00:00+00:00,54.57371207898718,51.454158593660146,55.96964549548354,55.421079172970245,,78.84898149221867
2023-08-01 02:00:00+00:00,54.57292689616123,51.45273199387779,55.97026479461386,55.422572126230854,,78.84841096538382
2023-08-01 03:00:00+00:00,54.5732918402916,51.45261034583433,55.9681967778751,55.42382178340455,,78.84636635007614
2023-08-01 04:00:00+00:00,54.572882660509066,51.45176986844317,55.96974502570091,55.330589617007725,,78.8328866299302
2023-08-01 05:00:00+00:00,54.57226336137874,51.45181410409534,55.96663747113624,55.42393237253497,,78.84034988527223
2023-08-01 06:00:00+00:00,54.571633003335364,51.450354327573855,55.96516663570171,55.418458210579395,,78.85207161842466
2023-08-01 07:00:00+00:00,54.57028381594429,51.44949173235661,55.96409392113668,55.42183117905707,,78.83502678800926
2023-08-01 08:00:00+00:00,54.56969769355309,51.450398563226024,55.954461607877484,55.41489724058002,,78.82623958283516
2023-08-01 09:00:00+00:00,54.568038856596864,51.44991197105219,55.96364603515849,55.411739920906655,,78.82606760584666
2023-08-01 10:00:00+00:00,54.56927745485752,51.4488503154002,55.951000168095476,55.414935946775664,,78.83136886476188
2023-08-01 11:00:00+00:00,54.56831532942291,51.44876184409586,55.93872477461935,55.39655050384408,,78.83201036622691
2023-08-01 12:00:00+00:00,54.56635790181455,51.44901619909583,55.93952101635835,55.39290106254037,,78.82214489263286
2023-08-01 13:00:00+00:00,54.56684449398838,51.446992418009216,55.93703276092399,55.39290106254037,,78.82943071139947
2023-08-01 14:00:00+00:00,54.56579389724942,51.44655006148756,55.93677840592404,55.39166246427971,,78.8429541082409
2023-08-01 15:00:00+00:00,54.56578283833639,51.44681547540056,55.936070635489386,55.39241447036654,,78.84362563743407
2023-08-01 16:00:00+00:00,54.56545107094514,51.446727004096225,55.93638028505455,55.39206058514921,,78.83556728711596
2023-08-01 17:00:00+00:00,54.5649091842061,51.436867983119676,55.93549557201123,55.39241447036653,,78.83615146291815
2023-08-01 18:00:00+00:00,54.56198963116313,51.41907972149233,55.93558404331555,55.39201634949705,,78.83935487555308
2023-08-01 19:00:00+00:00,54.55287708681689,51.41956631366617,55.93589369288071,55.39237023471437,,78.83674109830729
2023-08-01 20:00:00+00:00,54.55985526094611,51.41868160062284,55.93454450548964,55.39206058514921,,78.8327064635613
2023-08-01 21:00:00+00:00,54.5597446718157,51.41921242844884,55.93414638462014,55.39086622254072,,78.82345792329106
2023-08-01 22:00:00+00:00,54.55302085268644,51.41890277888367,55.93445603418531,55.38874291123674,,78.83338345234141
2023-08-01 23:00:00+00:00,54.56083397475029,51.419798550840035,55.93478780157656,55.388322672541165,,78.8341996605884
2023-08-02 00:00:00+00:00,54.5351275313852,51.41635922888411,56.379533048455734,55.386398421671934,,78.8312897007513
2023-08-02 01:00:00+00:00,54.534375525298366,51.41567357627554,56.37300828976121,55.386442657324096,,78.84120977021472
2023-08-02 02:00:00+00:00,54.533977404428875,51.41456768497138,56.34567065672249,55.386663835584926,,78.81808568974564
2023-08-02 03:00:00+00:00,54.535304473993854,51.41372720758022,56.079250382638385,55.387017720802255,,78.81198460134424
2023-08-02 04:00:00+00:00,54.53450823225487,51.415850518884206,56.323774008900216,55.386973485150094,,78.82356438523631
2023-08-02 05:00:00+00:00,54.53325857508117,51.41443497801489,56.35303589280816,55.386885013845756,,78.82013576464026
2023-08-02 06:00:00+00:00,54.53284939529863,51.41151542497192,56.34423852748361,55.38577912254161,,78.82096835164806
2023-08-02 07:00:00+00:00,54.5321748016031,51.41018835540692,56.34122497367979,55.383655811237624,,78.8048380020445
2023-08-02 08:00:00+00:00,54.52932160203838,51.40979023453743,56.32441542585662,55.383080747759465,,78.80684985983056
2023-08-02 09:00:00+00:00,54.52905618812539,51.41018835540692,56.32269023542214,55.3807473171077,,78.77238621729462
2023-08-02 10:00:00+00:00,54.528917951712366,51.409878705841756,56.32375189107413,55.381510382107564,,78.79681240924802
2023-08-02 11:00:00+00:00,54.525771690952034,51.41045376931992,56.32233635020481,55.382196034716145,,78.81611204906814
2023-08-02 12:00:00+00:00,54.52632463660411,51.40956905627659,56.322867178030805,55.37994001645566,,78.81149596831344
2023-08-02 13:00:00+00:00,54.525716396386834,51.40996717714609,56.322424821509145,55.379752014933956,,78.81236131284284
2023-08-02 14:00:00+00:00,54.52551733595208,51.41054224062426,56.322867178030805,55.37790517645602,,78.81238042139712
2023-08-02 15:00:00+00:00,54.52587122116941,51.40922622997231,56.321960347161394,55.37715317036919,,78.8081683500757
2023-08-02 16:00:00+00:00,54.52630251877803,51.406737974537954,56.31990338933567,55.37679928515186,,78.80103266994985
2023-08-02 17:00:00+00:00,54.52569427856074,51.407180331059614,56.318885969335845,55.37733011297786,,78.81343412167585
2023-08-02 18:00:00+00:00,54.52531827551733,51.40682644584229,56.3169838362927,55.37763976254302,,78.80965335772241
2023-08-02 19:00:00+00:00,54.52566110182162,51.40700338845095,56.31596641629287,55.37715317036919,,78.81237496181019
2023-08-02 20:00:00+00:00,54.522503782148256,51.406295618016294,56.31623183020588,55.378082119064686,,78.8034403477888
